"time_of_day","t_value","slope","slope_dir","r_sq","common_name"
"dawn",-0.695276113776015,-0.415336645334616,"-",-0.00703003757617715,"Ashy Drongo"
"dusk",-0.0584409984624503,-0.0544406415587571,"-",-0.0134667385955269,"Ashy Drongo"
"dawn",2.58821411137524,0.811479276623917,"+",0.00916658003366766,"Crimson-backed Sunbird"
"dusk",4.14391686841594,3.3320402124943,"+",0.0741252018019858,"Crimson-backed Sunbird"
"dawn",-7.94502127757493,-2.02655588641655,"-",0.116527181888548,"Gray Junglefowl"
"dusk",-1.58798219299102,-0.934837488678367,"-",0.0103150084005191,"Gray Junglefowl"
"dawn",-5.25377196578766,-1.38875321447807,"-",0.0528236852446984,"Greater Racket-tailed Drongo"
"dusk",-0.272289131226683,-0.176100665612675,"-",-0.00660977550855502,"Greater Racket-tailed Drongo"
"dawn",-2.71288983857928,-0.864576625140355,"-",0.0127870641003935,"Indian Scimitar-Babbler"
"dusk",-1.63138443941287,-0.911696571558875,"-",0.00832116304286667,"Indian Scimitar-Babbler"
"dawn",0.265539941891658,0.114837918975351,"+",-0.00611222077398055,"Malabar Gray Hornbill"
"dusk",0.41060497017767,0.175003513665746,"+",-0.00303245364077531,"Malabar Gray Hornbill"
"dawn",0.295872699708213,0.127097688851414,"+",-0.0162684855659696,"Oriental Magpie-Robin"
"dusk",2.26498951759007,102,"+",0.673745173745174,"Oriental Magpie-Robin"
"dawn",1.4625846321467,0.316359703634004,"+",0.0014166127849885,"Nilgiri Flowerpecker"
"dusk",3.95359354467168,1.42966758068699,"+",0.0358046879172648,"Nilgiri Flowerpecker"
"dawn",0.00135788016850214,0.000977194955769569,"+",-0.015151486791281,"Purple Sunbird"
"dawn",-3.41157939561344,-1.48357185895314,"-",0.0403539653021008,"Puff-throated Babbler"
"dusk",-0.230423537813036,-0.54652975647959,"-",-0.0429375102646898,"Puff-throated Babbler"
"dawn",0.791043636165412,0.330249512802871,"+",-0.00107350063971268,"Square-tailed Bulbul"
"dusk",2.10424263497414,1.19893158723606,"+",0.0112230669599795,"Square-tailed Bulbul"
"dawn",3.64897188670151,0.858248655499665,"+",0.0128372806465762,"White-cheeked Barbet"
"dusk",1.57962103492557,0.563393455850663,"+",0.00222999748268171,"White-cheeked Barbet"
"dawn",1.29954060585536,0.428701524924675,"+",0.00469569427997485,"Common Iora"
"dusk",-2.31449436372747,-7.84021495508371,"-",0.352587602457767,"Common Iora"
"dawn",2.13920283471051,1.02571880961296,"+",0.0263777054107358,"Common Tailorbird"
"dusk",-1.89915265956081,-1.43984623024766,"-",0.12064642324613,"Common Tailorbird"
"dawn",0.872498058958303,0.425265769404957,"+",-0.00174572206759005,"Large-billed Crow"
"dusk",2.22841714874205,1.73980145356496,"+",0.0266224988845639,"Large-billed Crow"
"dawn",-0.373082501687364,-0.116145140683719,"-",-0.00316312194941593,"Velvet-fronted Nuthatch"
"dusk",-1.65841064464029,-0.85702459665439,"-",0.0278934944495236,"Velvet-fronted Nuthatch"
"dawn",-0.558505073278262,-0.420098420501148,"-",-0.0226997136245937,"White-bellied Treepie"
"dusk",0.865979741237273,1.58631002445331,"+",-0.00934877858469707,"White-bellied Treepie"
"dawn",-0.635077504489685,-0.143682060010271,"-",-0.00098885196702736,"Yellow-browed Bulbul"
"dusk",2.6613254643768,1.33780578474256,"+",0.0194282665124969,"Yellow-browed Bulbul"
"dawn",-2.73783507136937,-0.72427409437615,"-",0.0114061272310927,"Indian White-eye"
"dusk",0.441162400554917,0.187750432190386,"+",-0.00249965603298685,"Indian White-eye"
"dawn",-5.40112969178511,-1.21231017200895,"-",0.044353644352043,"Malabar Whistling-Thrush"
"dusk",-2.85871518049093,-1.09073192420309,"-",0.0157572269487901,"Malabar Whistling-Thrush"
"dawn",0.341854707914982,0.137921635879883,"+",-0.00344817339503645,"Orange-headed Thrush"
"dusk",-1.06370174034093,-0.87001399851397,"-",0.0014916511121833,"Orange-headed Thrush"
"dawn",-0.397678185159811,-0.116651930714439,"-",-0.0013980580748254,"Red-whiskered Bulbul"
"dusk",3.17580673507075,2.00787772428498,"+",0.0279487749392927,"Red-whiskered Bulbul"
"dawn",3.63801140370367,0.91456469208252,"+",0.0315961185368288,"Vernal Hanging-Parrot"
"dusk",-2.71640136429633,-1.13287127928666,"-",0.0300351790268751,"Vernal Hanging-Parrot"
"dawn",0.0745811794444685,0.0187819368951454,"+",-0.00581523568001718,"Greater Coucal"
"dusk",0.528240184759741,0.482460076694874,"+",-0.0776979608310902,"Greater Coucal"
"dawn",0.16684398721504,0.043232256210757,"+",-0.00178042769654541,"Greenish Warbler"
"dusk",-0.140297554000842,-0.0947154237915929,"-",-0.0052417829957796,"Greenish Warbler"
"dawn",3.45323206061555,2.35723287132329,"+",0.125681165771561,"Crested Serpent-Eagle"
"dusk",0.179715270654564,1.41182195817254,"+",-0.192298330215354,"Crested Serpent-Eagle"
"dawn",-1.82351449573485,-1.07417186011496,"-",0.0355943025669905,"White-bellied Blue Flycatcher"
"dusk",1.15156294404044,1.24092579706304,"+",0.00611515245111449,"White-bellied Blue Flycatcher"
"dawn",0.331614016679974,0.0827078055911322,"+",-0.0121738823041708,"Indian Peafowl"
"dusk",-1.16348730227561,-0.540737147243519,"-",0.00922212661707356,"Indian Peafowl"
"dawn",1.12195993539132,0.39400944944252,"+",0.00118572127961414,"Malabar Barbet"
"dusk",0.20540055891997,0.131820630410669,"+",-0.00383059599955327,"Malabar Barbet"
"dawn",0.620276416128926,0.366938253054555,"+",-0.0274855589005725,"Bronzed Drongo"
"dusk",0.329738042958912,0.579067573838952,"+",-0.0553285689945511,"Bronzed Drongo"
"dawn",-0.948760512200465,-0.716965090884797,"-",-0.00477764547935933,"Dark-fronted Babbler"
"dusk",2.40304981545414,2.46679562689726,"+",0.0630111589481698,"Dark-fronted Babbler"
"dawn",0.118703331929454,0.0739188662612817,"+",-0.0193262196717165,"Great Hornbill"
"dusk",1.07970005989114,0.741052515805916,"+",0.00351424946130718,"Great Hornbill"
"dawn",-0.698057375285233,-0.3560843682593,"-",-0.0028095979582401,"Mountain Imperial-Pigeon"
"dusk",0.445358179506437,0.441411047689149,"+",-0.00734128433872328,"Mountain Imperial-Pigeon"
"dawn",0.589024270486214,0.205796345913589,"+",-0.0150656600968857,"Speckled Piculet"
"dusk",-0.579402796030853,-0.297953933436473,"-",-0.0311352410899242,"Speckled Piculet"
"dawn",0.460498233631526,0.468321826902111,"+",-0.0217590881816896,"Brown-breasted Flycatcher"
"dusk",2.43287713187217,5.70689670442137,"+",0.170092660717176,"Brown-breasted Flycatcher"
"dawn",0.0100360403085003,0.00321809308471619,"+",-0.0030956624337255,"Large-billed Leaf Warbler"
"dusk",0.537452211316165,0.490129609898801,"+",-0.0350510230753196,"Large-billed Leaf Warbler"
"dawn",-0.248235374855395,-0.0752950516594966,"-",-0.00223923917651048,"Southern Hill Myna"
"dusk",-0.571194687335013,-0.272169710752406,"-",-0.00146679317706733,"Southern Hill Myna"
"dawn",-0.727283374602808,-0.393510511668822,"-",-0.00328197845948908,"Spotted Dove"
"dusk",-0.277237327724473,-0.236843899867772,"-",-0.0144067523969784,"Spotted Dove"
"dawn",0.621548070419237,0.238289268295581,"+",-0.00265217922495831,"Asian Fairy-bluebird"
"dusk",-3.60863655406974,-2.72442615336737,"-",0.0732965022072787,"Asian Fairy-bluebird"
"dawn",-0.440729318694539,-0.451107956997076,"-",-0.19211042276383,"Indian Pitta"
"dusk",-1.83615063731838,-0.821386174042212,"-",0.068994738967326,"Indian Pitta"
"dawn",-3.69986334272956,-3.07114395091974,"-",0.193167667753638,"Asian Emerald Dove"
"dusk",2.47860848441529,3.02920630828474,"+",0.0777627433918187,"Asian Emerald Dove"
"dawn",-2.61952190045125,-1.1297555554853,"-",0.0451394536290503,"Black-naped Monarch"
"dusk",2.13017007694453,0.82953571312096,"+",0.0345007461602871,"Black-naped Monarch"
"dawn",3.32977608435183,0.802479579298708,"+",0.627037512065195,"Spot-bellied Eagle-Owl"
"dusk",-0.958476099450053,-0.765241063459338,"-",-0.00313764350554524,"Spot-bellied Eagle-Owl"
"dawn",0.389734532526572,0.292064375157053,"+",-0.0128206005243323,"White-throated Kingfisher"
"dusk",NA,31.0344827586206,"+",NA,"White-throated Kingfisher"
"dawn",0.0319914108992487,0.0174899312111663,"+",-0.0052855615879297,"Brown-cheeked Fulvetta"
"dusk",0.845063590226162,1.5728246686458,"+",-0.00962059143904037,"Brown-cheeked Fulvetta"
"dawn",1.843914942883,0.72360805618518,"+",0.0116846253935065,"Orange Minivet"
"dusk",-0.154545922713223,-0.296767627250443,"-",-0.0390073555537023,"Orange Minivet"
"dawn",0.787969837512057,0.260295804423843,"+",-0.00646703749061017,"Greater Flameback"
"dusk",0.0801737797703622,0.0611098738685671,"+",-0.0155230060268199,"Greater Flameback"
"dawn",0.320702840586777,0.130235613374008,"+",-0.00457489366734021,"Blyth's Reed Warbler"
"dusk",1.60348971715286,0.717497398235452,"+",0.00910452880738144,"Blyth's Reed Warbler"
"dawn",-0.694707980513097,-0.54545204981972,"-",-0.0138032195496223,"Malabar Trogon"
"dusk",NA,NA,NA,0,"Malabar Trogon"
"dawn",0.358447724163925,0.135728016631715,"+",-0.00572881029055039,"Plum-headed Parakeet"
"dusk",0.756378775686862,0.741277342796367,"+",-0.00467272352961268,"Plum-headed Parakeet"
"dawn",-3.5618835041294,-2.44849972826661,"-",0.100156938519954,"Gray-headed Canary-Flycatcher"
"dusk",NA,-21.0526315789474,"-",NA,"Gray-headed Canary-Flycatcher"
"dawn",0.502904098215074,0.289103469453742,"+",-0.00954708832968931,"Malabar Parakeet"
"dusk",0.133607966637488,0.226295886907582,"+",-0.0545097695842478,"Malabar Parakeet"
"dawn",2.08759815924724,1.46202010707389,"+",0.0898886486199915,"Streak-throated Woodpecker"
"dusk",0.729518449078095,0.850904584536156,"+",-0.0252427075011881,"Streak-throated Woodpecker"
"dawn",2.79044395458348,1.72569232443229,"+",0.189640304959613,"Indian Yellow Tit"
"dusk",-1.52351732434608,-2.32903538667335,"-",0.0543192850629596,"Indian Yellow Tit"
"dawn",-0.287648973519066,-0.224980388331772,"-",-0.0536950140490611,"Indian Paradise-Flycatcher"
"dusk",2.14113447785721,0.952250695318318,"+",0.216133508875118,"Indian Paradise-Flycatcher"
"dawn",0.274197712395034,0.160284883121962,"+",-0.0177592384055993,"Bar-winged Flycatcher-shrike"
"dusk",0.106019045955437,0.123842841440895,"+",-0.0429685649385851,"Bar-winged Flycatcher-shrike"
"dawn",-2.09762714106078,-2.40768152489859,"-",0.128789186360298,"Black-and-orange Flycatcher"
"dusk",-1.11532407216749,-1.29534516609667,"-",0.00834182128014249,"Black-and-orange Flycatcher"
"dawn",-1.30239882662074,-0.529898610645128,"-",0.0050199103451638,"Green Warbler"
"dusk",0.873678374788801,1.867102527942,"+",-0.0103976994931145,"Green Warbler"
"dawn",1.37459680227426,0.474502373634942,"+",0.00908694211411931,"Chestnut-headed Bee-eater"
"dusk",-0.865440123294605,-0.497297590308573,"-",-0.00450256423065198,"Chestnut-headed Bee-eater"
"dawn",0.483140680747579,0.16264498310686,"+",-0.0107614519938601,"Indian Blue Robin"
"dusk",-0.446856729049592,-0.33664048705377,"-",-0.0153318765430728,"Indian Blue Robin"
"dawn",-0.301767163044131,-0.291404470388281,"-",-0.0531819791978463,"Asian Brown Flycatcher"
"dusk",0.828586288657995,2.48937277765316,"+",-0.0247068456625037,"Asian Brown Flycatcher"
"dawn",-1.66307477671388,-0.827206508302591,"-",0.023306258234184,"Little Spiderhunter"
"dawn",-0.795013546850767,-0.581870953220432,"-",-0.00789057070464838,"Indian Blackbird"
"dawn",2.3600392874178,0.913654713284032,"+",0.102531017217853,"Rufous Babbler"
"dusk",-0.446717481009345,-8.07903248488256,"-",-0.667282855730107,"Rufous Babbler"
"dawn",0.685897616768413,0.333070557035648,"+",-0.0134162236553241,"Malabar Woodshrike"
"dusk",-16.1858544216561,-3.55344151013195,"-",0.992394913389264,"Malabar Woodshrike"
"dawn",0.344382326571757,0.148245773979441,"+",-0.0199779872749821,"Black-rumped Flameback"
"dusk",-1.48702781492422,-1.34020438548631,"-",0.0747167302749214,"Black-rumped Flameback"
"dawn",0.527566414472409,0.297732523179255,"+",-0.0149481917312584,"House Crow"
"dusk",-0.821098976374453,-0.723774884596245,"-",-0.00606988924988472,"House Crow"
"dawn",0.408325848132605,0.456728416264616,"+",-0.0331099829737365,"Golden-fronted Leafbird"
"dusk",-3.12091206317219,-4.82460155947176,"-",0.55527579172756,"Golden-fronted Leafbird"
"dawn",-2.62459538483105,-1.28378969677863,"-",0.111338019230611,"Red Spurfowl"
"dusk",0.864244446276753,6.60015122876725,"+",-0.0921328901807816,"Red Spurfowl"
